date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:12:55 AM,384,7220.67979831933,7111.16666666667,7095.5,7220.67979831933,6858.74351896338
1:12:58 AM,385,7128.390214986,7243.85714285714,7373,7128.390214986,6817.38993080014
1:13:01 AM,388,7032.256214986,6374,6374,7032.256214986,6850.43972088764
1:13:04 AM,389,6962.006214986,6622.33333333333,6556,6962.006214986,6924.26250429726
1:13:07 AM,390,6876.60621498599,7071.05882352941,7063,6876.60621498599,7017.26003870671
1:13:10 AM,391,6824.35621498599,7305,7305,6824.35621498599,7112.6742933282
1:13:13 AM,392,6774.29788165266,7264,7264,6774.29788165266,7193.74723737392
1:13:16 AM,393,6718.25557396035,7202,7202,6718.25557396035,7243.72084005606
1:13:19 AM,396,6637.6377168175,7120,7120,6637.6377168175,7142.04591763459
1:13:22 AM,398,6588.62105015083,7120,7120,6588.62105015083,6915.47795910483
1:13:25 AM,399,6537.0627168175,6865,6865,6537.0627168175,6772.67156812965
1:13:28 AM,400,6480.01985967464,6497.875,6445.5,6480.01985967464,6618.23378773175
1:13:31 AM,401,6467.66985967464,6252,6236.5,6467.66985967464,6458.20228169924
1:13:34 AM,402,6442.75319300797,6120,6120,6442.75319300797,6299.1100306805
1:13:37 AM,405,6397.4852518315,6233,6233,6397.4852518315,5914.59255604249
1:13:40 AM,406,6350.1727518315,6118,6118,6350.1727518315,5847.37170713496
1:13:43 AM,407,6293.6727518315,5868.83333333333,5838,6293.6727518315,5825.64262112951
1:13:46 AM,408,6153.2227518315,5704.15384615385,5668,6153.2227518315,5854.22859586367
1:13:49 AM,409,6019.2727518315,5626.14285714286,5573,6019.2727518315,5921.20786072604
1:13:52 AM,410,5927.1477518315,6054,6054,5927.1477518315,6010.47237799302
1:13:55 AM,411,5831.61441849817,6080,6080,5831.61441849817,6105.914109941
1:13:58 AM,414,5754.25066849817,6103,6103,5754.25066849817,6268.22221663496
1:14:01 AM,415,5674.9720970696,6127,6127,5674.9720970696,6231.80225149813
1:14:04 AM,416,5596.8220970696,6124,6156,5596.8220970696,6148.07824098746
1:14:07 AM,417,5520.8220970696,6165.7,6187.5,5520.8220970696,6028.00107594253
1:14:10 AM,418,5452.4720970696,6358.75,6396,5452.4720970696,5882.52164720292
1:14:13 AM,420,5344.43043040293,6134,6134,5344.43043040293,5559.15956199792
1:14:16 AM,422,5262.70607142857,4393,4393,5262.70607142857,5252.29462507976
1:14:19 AM,423,5165.49892857143,4441,4441,5165.49892857143,5112.46908381328
1:14:22 AM,424,5051.28226190476,5277.5,5277.5,5051.28226190476,4983.01152811867
